before,after
"我同意 极端女权就是搞性别对立 基本理论讲不通就说你是屌癌
",同意   女权 搞 性别 对立   理论 讲 不通 屌 癌 
"听到了吗，男人们自己都说了，女性如果要想被当做一平等的人，就不能再制造儿子和父亲，给男人生儿子的都是女性的罪人是叛徒
",听到 ， 男人 ， 女性 想 当做 平等 ， 制造 儿子 父亲 ， 男人 生 儿子 女性 罪人 叛徒 
"所以说根本不应该有“父”的存在，女人不结婚，消灭一切“父”，世界上就没有重男轻女了。我看它清楚的很。
",“ 父 ” ， 女人 结婚 ， 消灭 “ 父 ” ， 世界 重男轻女 。 。 
"因为他是男的，在父系找点存在感。毕竟追溯母系祖先就没男人什么事儿了，线粒体传女不传男。事实上就算追溯父系也没啥用，男人的亲自不确定性太大了，传不了几代就不知道丢到谁家去了
",男 ， 父系 找点 感 。 追溯 母系 祖先 男人 事儿 ， 线粒体 传女 不传 男 。 事实上 追溯 父系 ， 男人 不确定性 太大 ， 几代 丢 谁家 
"我觉得很多人最大的错误就是去用性别站队，最大的敌人是不公，是差别对待，是歧视。而不是性别。我个人觉得女权是好样的，但女拳就很让人不舒服。我真的蛮讨厌那种一杆子拍死全体男性的行为。
",错误 性别 站队 ， 敌人 不公 ， 差别 ， 歧视 。 性别 。 女权 好样 ， 女拳 舒服 。 讨厌 杆子 拍死 男性 。 
"问：为什么重男轻女的合理的？一句就可以概括蛆的回答：因为我是男的，我是重男轻女的既得利益者，我得利就是合理的，你觉得不合理活该你是女的不关我事。
",问 ： 重男轻女 ？ 概括 蛆 回答 ： 男 ， 重男轻女 既得利益者 ， 得利 ， 不合理 活该 女 不关我事 。 
"你要跟男权谈逻辑最后只能发现他左右啪啪打脸。
",男权 谈 逻辑 发现 啪啪 打脸 。 
"对啊，就像高危职业一样，为什么非得是男人做呢，女人也可以做啊，这种不公确实要提出来，凭什么脏活累活就默认是男人应该做的呢，女性就应该踊跃参军，抵制这种变相的不公平，女性难道不想跟男人一样保家卫国吗？当然想啊，所以以后女性应该去承担这样的义务，用行动告诉国家，谁说女子不如男，对吗！
",， 高危 职业 ， 男人 做 ， 女人 做 ， 不公 提出 ， 脏活 累活 默认 男人 做 ， 女性 踊跃 参军 ， 抵制 变相 公平 ， 女性 不想 男人 保家卫国 ？ 想 ， 女性 承担 义务 ， 国家 ， 女子 男 ， ！ 
"按这个逻辑，母系社会是最最老祖宗的东西，连老祖宗的东西都不要了，还是人吗
",逻辑 ， 母系社会 最最 老祖宗 ， 老祖宗 ， 
"在中国现阶段婚姻法的情况下，只能这样保护自己，因为男人一心要保护他们的财产，你的付出一文不值
",中国 现阶段 婚姻法 ， 保护 ， 男人 一心 保护 财产 ， 付出 一文不值 
"听说过上古八大姓氏吗？都是母姓以女字旁开头，不管那些土狗是想追溯也好还是还原历史，最开始这个社会就是个母系社会，现在所有的姓氏几乎都是由那八大母姓转化而来的，都是同一个女祖先不知道有啥好吵的
",听说 上古 八大 姓氏 ？ 母姓 女 字旁 开头 ， 土狗 想 追溯 还原 历史 ， 社会 母系社会 ， 姓氏 八大 母姓 转化 而来 ， 同一个 女祖先 吵 
"我隐约感觉大部分男同学对女权都是这种感觉……
",隐约 感觉 男同学 女权 感觉 … … 
"我专门去查了一下，女权怎么了，凭什么女性不能有权利，他们骨子里还是恶臭的男权思维，以女性为附属品，想怎么对待怎么对待，如果这样的话，我就女权了，怎么了呢！
",去查 ， 女权 ， 女性 权利 ， 骨子里 恶臭 男权 思维 ， 女性 附属品 ， 想 ， 这样的话 ， 女权 ， ！ 
"""如果把婚女叫做婚驴不是不尊重人，那把婚女当驴子使唤剥削的男人大鼎岂不是罪加一等了?和大罪人睡一个被窝的婚女算不算是协同作案呢？因为没有婚女，大鼎就没法犯剥削罪了。",""" 婚女 婚驴 尊重 ， 婚女 驴子 使唤 剥削 男人 大鼎 罪加一等 ? 罪人 睡 被窝 婚女 算不算 协同 作案 ？ 婚女 ， 大鼎 没法 犯 剥削 罪 。 "
"前天还有一个人跟我讨论男权女权说我说话很过分巴拉巴拉，也不知道是那些男蛆天天没事找事，不过我身边都没有这种屌癌男，估计都是些户口本只有一个人的孤儿天天在网上哔哔赖赖，性侵都有屌丝洗别说其他的了
",前天 讨论 男权 女权 说话 过分 巴拉巴 拉 ， 男 蛆 天天 没事找事 ， 身边 屌 癌 男 ， 估计 户口本 孤儿 天天 网上 哔 哔赖赖 ， 性侵 屌丝 洗 
"真的，身边的人都觉得还挺正常的，我对象也是绝对不打女的，也不会说出女的被强奸是因为穿的少，网上这些人把我整的怀疑人生，恐婚就是被网上屌丝搞的
",， 身边 挺 ， 对象 女 ， 说出 女 强奸 是因为 穿 少 ， 网上 我整 怀疑 人生 ， 恐婚 网上 屌丝 搞 
"另外，我希望一些男性不要隔空对打田园女权，等存在的时候你再打也不迟。
",， 希望 男性 隔空 田园 女权 ， 迟 。 
"我一直觉得个体差异大于整体差异，有坚持，有污化，有摸鱼都是正常的，just do yourself管好自己专注自己就好了，世界上也有很多理性的女生，我想正是因为理性的克制，把网络话语权让给了激进了吧。have a nice day
",个体差异 大于 整体 差异 ， ， 污化 ， 摸鱼 ， just   do   yourself 管好 专注 ， 世界 理性 女生 ， 想 理性 克制 ， 网络 话语权 让给 激进 。 have   a   nice   day 
"哎，我真的非常讨厌相亲的时候男的不管自己条件有多差都要找年龄比他小的，最好独生子女的，是那种很理所当然的态度，听说女的超过三十岁就各种嫌弃，说生孩子风险大，不能够优生优育！我呸！多大的脸！你配吗？
",， 讨厌 相亲 男 条件 差 找 年龄 ， 独生子女 ， 理所当然 态度 ， 听说 女 超过 三十岁 嫌弃 ， 说生 孩子 风险 ， 优生优育 ！ ！ 多大 脸 ！ 你配 ？ 
"某田园女权要求女性买房打七折，原因女性很累很苦
",田园 女权 女性 买房 七折 ， 原因 女性 很累 很苦 
"太真实了，我前女友那个渣女就是那样
",太 真实 ， 前女友 渣 女 
"在这种情况下，营销号反而是把女性放在了弱势方，认为女性的财富只能通过男性才能获得，女性依附于男性。真要平权，女性自己也能创造相等财富（不存在职位上升阻碍等），不能强制要求男性的财富多于女方，男性不用一人背负“房子车子票子”的重担，完全有理由要求女方一同承担，其实平权也是在解放男性
",， 营销 号 女性 放在 弱势 ， 女性 财富 男性 ， 女性 依附于 男性 。 真 平权 ， 女性 创造 财富 （ 职位 阻碍 ） ， 强制 男性 财富 多于 女方 ， 男性 不用 一人 背负 “ 房子 车子 票子 ” 重担 ， 理由 女方 一同 承担 ， 平权 解放 男性 
"微博上田园女权太多了，就是恨国党，我一个女的都看着恶心，我觉得对家暴和稀泥这种或者职场上歧视还有一些重男轻女思想打打拳ok，很多人打拳打的真是令人作呕，败坏了真正的女拳。
",微博上 田园 女权 太多 ， 恨国党 ， 女 恶心 ， 家暴 和稀泥 职 场上 歧视 重男轻女 思想 打拳 ok ， 拳打 令人作呕 ， 败坏 女拳 。 
"""白人的美洲移民及日本移民东北的开拓团也是类似性质的侵略集团。扩张战争是国家组织导的种族扩张，而大规模移民则是自发的，潜意识的种族扩张。其结果同样是占领新的土地，繁衍自己的人口，摧毁别人的文明，扩张自己的文明。黑绿移民潮，所做的事和纳粹德国并没有区别。甚至不费一枪一弹。",""" 白人 美洲 移民 日本 移民 东北 开拓 团 类似 性质 侵略 集团 。 扩张 战争 国家 组织 导 种族 扩张 ， 大规模 移民 自发 ， 潜意识 种族 扩张 。 占领 新 土地 ， 繁衍 人口 ， 摧毁 文明 ， 扩张 文明 。 黑绿 移民 潮 ， 做 事 纳粹德国 区别 。 费 一枪 一弹 。 "
"是的，坚决支持男女平等，但有些女权很极端，开口就骂别人蠢，结婚的都是驴
",， 支持 男女平等 ， 女权 ， 开口 骂 蠢 ， 结婚 驴 
"其实应该是女性独立思想还不够成熟，所以容易极端和保守并存，在男女交往上往往女孩会被父母和环境教育交往时要独立，但是整个大环境导致女孩容易依赖，向往被保护。 可以多看看情感博主，不一定认同，但是不要无脑否认。
",女性 独立思想 成熟 ， 保守 并存 ， 男女 交往 女孩 父母 环境 教育 交往 时要 独立 ， 环境 导致 女孩 依赖 ， 向往 保护 。   情感 博主 ， 认同 ， 无脑 否认 。 
"""所以有些男人又要女人生孩子，又不要付彩礼，房子又不加女人名字，就特别田园男权了，是不是呢？",""" 男人 女人 生 孩子 ， 付 彩礼 ， 房子 不加 女人 名字 ， 特别 田园 男权 ， ？ "
"事到如今我就再转发这条出来。如果还有人想搞“婚女女权”，请便。姥子承认猪脑子带不动。你们爱咋咋地。
",事到如今 转发 条 。 人想 搞 “ 婚女 女权 ” ， 请便 。 姥子 承认 猪脑子 带不动 。 爱 。 
"""你是复读机么？你是不是想给全世界公布自己是处女？",""" 复读机 ？ 想 全世界 公布 处女 ？ "
"说到底不过是女性更有同理心罢了，怎么还能被讲厌女
",说到底 女性 同理 心 ， 讲 厌女 
"给你们指条明路，搞基去吧，这么仇女，你们应该去喜欢男人，不用谢
",指条 明路 ， 搞 基去 ， 仇女 ， 喜欢 男人 ， 不用谢 
"来了来了，反对极端女拳=仇女，脸也太大了。
",， 反对 女拳 = 仇女 ， 脸 太大 。 
"好好读书吧弟弟，争取瘦一点受一点，才能有男人喜欢你🙃
",好好 读书 弟弟 ， 瘦 一点 受 一点 ， 男人 喜欢 🙃 
"把性别改回去，这么不想做男的吗？要不去泰国割了呗🙃
",性别 改回去 ， 不想 做 男 ？ 泰国 割 🙃 
"他那是反极端女权吗？在他和某些人眼里眼里女人只要说一句为自己争取权益的话那都是极端女权🙃
",反 女权 ？ 眼里 眼里 女人 权益 女权 🙃 
"男性出生就有罪，能不能不要给男性生理定罪？
",男性 出生 有罪 ， 不能不要 男性 生理 定罪 ？ 
"恁从哪看到的？什么叫正常女权？浪国有几个正常女权？正常女权早几年早被垃圾给挤下去了
",恁 ？ 女权 ？ 浪 国有 女权 ？ 女权 早 几年 早 垃圾 挤下去 
"绝了，我在微博上反驳说彩礼low的人，被女拳和蛆同时围攻，我他妈惊了。
",， 微博上 反驳 彩礼 low ， 女拳 蛆 围攻 ， 妈 惊 。 
"其实大家都不是想搞事情的人，只不过我最近这两天看多那种辣鸡仇女癌的发言，太恶臭了，忍不住想喷人。以上所说的话指针对仇女癌
",想 搞 事情 ， 只不过 两天 看多 辣鸡仇 女癌 发言 ， 太 恶臭 ， 忍不住 想 喷人 。 所说 指 仇女癌 
"反对极端女拳就是仇女，建议你去搞les，奥没人愿意跟你搞啊，那没事了
",反对 女拳 仇女 ， 建议 搞 les ， 奥没人 搞 ， 没事 
"你啊，就是被这些营销号洗脑成了田园女权
",， 营销 号 洗脑 成 田园 女权 
"未曾设想女👊 能把一个真女权主义者逼到这般，可惜。
",未曾 设想 女 👊   真 女权主义者 逼 ， 可惜 。 
"真的好气，有人说越来越多人恐婚恐育是女权号召的结果。当事人表示，我们恐婚恐育是被这些男生吓的出来
",好气 ， 有人 越来越 多人 恐婚 恐育 女权 号召 。 当事人 ， 恐婚 恐育 男生 
"看得出他有些时候是在反讽，但是评论下很多狗粉丝实际上是借着反极端女权的名义辱骂所有女性，仇女，这是事实。(别来跟我杠哈，扪心自问一下自己到底属于哪种人
",看得出 反讽 ， 评论 狗 粉丝 实际上 借着 反 女权 名义 辱骂 女性 ， 仇女 ， 事实 。 ( 别来 杠哈 ， 扪心自问 哪种 
"我其实怪失落的，唠叨了这么久居然没几个男同胞回应我，都是一群温柔的姑娘
",失落 ， 唠叨 这么久 男同胞 回应 ， 一群 温柔 姑娘 
"某些男的就是有病吧，现实生活中不知道什么玩意儿就在网上攻击女生
",男 有病 ， 现实生活 中 玩意儿 网上 攻击 女生 
"这不楼上就来了，说我脑补…他就算挺文明的了，刚才那条被按头母狗了
",楼上 ， 脑补 … 挺 文明 ， 那条 按头 母狗 
"""柯洁真的是让我想起高中班里第一的那个男生，考不好就要撞墙撞地，动不动精神崩溃，当堂摔书撕卷子号啕大哭。满嘴之乎者也，可能这就是天才的世界",""" 柯洁 想起 高中班 里 第一 男生 ， 考 不好 撞墙 撞 ， 精神 崩溃 ， 当堂 摔书 撕 卷子 号啕大哭 。 满嘴 之乎者也 ， 天才 世界 "
"本质就是仇女，没有素质的恶臭屌丝罢了。有才无德必定被人唾弃。
",本质 仇女 ， 素质 恶臭 屌丝 。 无德 唾弃 。 
"可不，硬说玩梗，还觉得不理解梗的女的是母狗罢了，我也是真的不理解。
",可不 ， 硬 玩 梗 ， 理解 梗 女 母狗 ， 理解 。 
"他是真的太不会说话。不过可能竞技运动之类的人都这样，自己在自己的小世界里。但是我觉得柯洁微博已经成了仇女集中营了
",太 说话 。 竞技 运动 ， 世界 里 。 柯洁 微博 成 仇女 集中营 
"关键是现在的女生 被别的男生揪吊带也就笑笑，要是马上生气反抗男的会那么嚣张？
",关键 女生   男生 揪 吊带 笑笑 ， 生气 反抗 男 嚣张 ？ 
"真的很无语，那言论明明已经是针对女性了，你只要说什么，她们就按头你是女拳师，不让你急什么。太恶心了他们说话
",很无语 ， 言论 明明 女性 ， ， 按头 女 拳师 ， 不让 急 。 太 恶心 说话 
"而我一个支持平权甚至反对一些对男性搞压迫的人因为不懂微博上的女👊含义，甚至以为他们和我一样，然后为此站队的人，尴尬到爆炸。第一次知道蝈蝻，还有什么，婚驴？😂
",支持 平权 反对 男性 搞 压迫 懂 微博上 女 👊 含义 ， ， 站队 ， 尴尬 爆炸 。 第一次 蝈蝻 ， ， 婚驴 ？ 😂 
"?女生什么反应我不管，本质上不就是男的猥琐男吗?
",? 女生 ， 本质 男 猥琐男 ? 
"说人家坦克真的好笑吗？那你们金针菇我们也可以笑吧？不会这么开不起玩笑吧，不会吧不会吧？
",坦克 好笑 ？ 金针菇 笑 ？ 开不起 玩笑 ， ？ 
"我身边也有像你一样的男孩子，人很好，也很尊重女性。有一次我们大学几个要好的朋友聚在一起聊到被性骚扰这个事情的时候，他还笑了说“现在这种事情应该很少吧”，直到在场的三四个女生都表示自己被性骚扰过，他沉默了。我相信有的男生是真的不知道，那是因为这种“伤疤”我们不会随随便便对人揭开
",身边 男孩子 ， ， 尊重 女性 。 大学 朋友 聚在一起 聊到 性骚扰 事情 ， 笑 “ 事情 ” ， 在场 三四个 女生 性骚扰 ， 沉默 。 男生 ， 是因为 “ 伤疤 ” 随随便便 对人 揭开 
"关键你🐴呢 男的管好自己的手不就啥都没了
",关键 🐴   男 管好 手 
"凡是柯洁和他的粉丝能因这段话感到生气，那么很开心的告诉你们，女性因为你们说过的话更生气。
",柯洁 粉丝 这段话 生气 ， 开心 ， 女性 生气 。 
"女拳上头收钱带节奏 傻球下边跟风乱出拳  横批拳法无章
",女拳 上头 收钱 节奏   傻球 下边 跟风 乱 出拳     横批 拳法 无章 
"断章取义造谣生事好厉害，柯洁的智商会说出你造谣的那几句话吗？
",断章取义 造谣生事 厉害 ， 柯洁 智商 说出 造谣 几句话 ？ 
"""赞同男性家暴女性",""" 赞同 男性 家暴 女性 "
"我觉得！女孩以后找对象的一个标准可以加一个。如果喜欢并支持柯洁的，可以不要了。因为这种人不知道尊重怎么写。每天都在自我高潮中羞辱女性
",！ 女孩 找对象 标准 加 。 喜欢 支持 柯洁 ， 。 尊重 写 。 自我 高潮 中 羞辱 女性 
"其实当今社会，女性地位已经取得了很大的进步，但是其他领域女性依然不及男性，男女平等还要继续推进。极端女权很好理解的，就是嘴里喊着男女平等，实际上要求女性必须在各个领域都碾压男性，如果不能碾压男性，就搬出所谓“结果平等”这种实际上是歧视男性的概念来要求女性特权，否则就是歧视女性。
",当今社会 ， 女性 地位 很大 ， 领域 女性 依然 不及 男性 ， 男女平等 推进 。 女权 理解 ， 嘴里 喊 男女平等 ， 实际上 女性 各个领域 碾压 男性 ， 碾压 男性 ， 搬出 “ 平等 ” 实际上 歧视 男性 概念 女性 特权 ， 歧视 女性 。 
"得了吧，就现在天天说维护女性权利的社会了，可是现实生活中还是很多看不起女性的，如果不维护部分看不起女性的猥琐男不是要上天么
",得了吧 ， 天天 维护 女性 权利 社会 ， 现实生活 中 看不起 女性 ， 维护 看不起 女性 猥琐男 上天 
"奥，男生能笑女生坦克，女生不能笑男生金针菇吗，开这种玩笑的就是金针菇qq肠那种类型的小鸡男孩哈。
",奥 ， 男生 笑 女生 坦克 ， 女生 笑 男生 金针菇 ， 开 玩笑 金针菇 qq 肠 类型 小鸡 男孩 。 
"你踩我蛋我不反抗你肯定嚣张啊，但我反抗你肯定住院啊
",踩 蛋 反抗 嚣张 ， 反抗 住院 
"(´･㉨･`)还有拳师要把柯洁和一些侮辱性名词联系起来，服了
",( ´ ･ ㉨ ･ ` ) 拳师 柯洁 侮辱性 名词 ， 服 
"""你选择性眼瞎吗？看不到评论吗？还是你们自己都看不懂内部交流的emoji？？看不到144坦克吗？看不到他回应怼他说奚梦瑶生孩子是下蛋的女的是极端女权？你们自己内部都不是一致意见吼",""" 选择性 眼瞎 ？ 看不到 评论 ？ 看不懂 内部 交流 emoji ？ ？ 看不到 144 坦克 ？ 看不到 回应 怼 奚梦瑶生 孩子 下蛋 女 女权 ？ 内部 一致意见 吼 "
"其实女权本来是个褒义词 是说女性追求男女平等之类的 结果被微博上的一些极端男权贬义化了
",女权 本来 褒义词   女性 追求 男女平等   微博上 男权 贬义 化 
"不不不，只是微博上有的女权师把女权扩大化了，哪一点不如愿就说侵犯了女权，实质上那种只是强调了女高男低的思想，给社会女性树立了不好的榜样。真正女权应该主张男女平等，而不是一昧地追求极端，微博上还是比较乱而已
",， 微博上 女权 师 女权 扩大化 ， 哪一点 如愿 侵犯 女权 ， 实质 女 高 男低 思想 ， 社会 女性 树立 不好 榜样 。 女权 男女平等 ， 一昧 追求 ， 微博上 乱 
"因为现在微博里的女权很多都是极端女权，她们眼里的女权就是男女对立，就是只要权利不履行义务，本来这个社会应该是男性和女性一起建设的，但是到了她们那就变成了男女平等的社会不需要男性
",微 博里 女权 女权 ， 眼里 女权 男女 对立 ， 权利 履行义务 ， 本来 社会 男性 女性 建设 ， 男女平等 社会 男性 
"想要回到古代，呵呵，你让他们试试看，人跟着有钱人，偶像什么的不行？反正是三妻四妾嘛，到时候有一群屌丝男哭着求一夫一妻，要是真的一夫多妻也不想想自己是哪种人，呵，就自以为自己很了不起呗，坐拥数美也看你有没有那个能力好嘛
",想要 回到 古代 ， ， 试试看 ， 跟着 有钱人 ， 偶像 不行 ？ 反正 三妻四妾 ， 到时候 一群 屌丝 男哭 求 一夫一妻 ， 一夫多妻 想想 哪种 ， ， 了不起 ， 坐 拥数 美 有没有 能力 
"也不知道高中说我穿齐b短裤的男生们长大了没 可别长成柯洁这样 太丑🤷♀️
",高中 穿 b 短裤 男生 长大   长成 柯洁   太丑 🤷 ♀ ️ 
"一些搞男女对立，极端利己主义者，披上了女权的外衣。把这个词污名化了。
",搞 男女 对立 ， 利己主义 ， 披上 女权 外衣 。 词 污名 化 。 
"""如果你还是觉得我张口闭口女权我也没话说了，毕竟每个人理解能力有限。只是你上来就想扣我虎扑恶臭男的帽子确实冒犯到我了",""" 张口 闭口 女权 没话说 ， 理解能力 有限 。 想 扣 虎 扑 恶臭 男 帽子 冒犯 "
"蝈男在男拳社会下犯罪成本太太太底了而且社会舆论对他们太好了。女性在男拳社会就得自己拿刀子捅死犯罪者了 法律是为蝻人制定的
",蝈男 男拳 社会 犯罪 成本 太太 太底 社会舆论 太好了 。 女性 男拳 社会 刀子 捅 死 犯罪者   法律 蝻 制定 
"那些极端女权不会听的，说不定会伪装成普通女性去带节奏
",女权 听 ， 说不定 伪装成 女性 节奏 
"为什么女厕没有小便池？女性何时才能站起来？气抖冷！
",女厕 小便池 ？ 女性 站 ？ 气抖 冷 ！ 
"因为你自己带入女生视角了呀，很多男生看极端女权的感觉和你看这个是一样的，你把自己摘开看就发现微博男女对立问题就很扯，反正和我认识的现实世界差很多
",带入 女生 视角 ， 男生 女权 感觉 ， 摘开 发现 微博 男女 对立 扯 ， 反正 现实 世界 差 
"""你表达不清就是你的错，你应该被人站出来批评。如果你觉得这个逻辑有问题你去跟评论区回复我的另一位吵～",""" 表达 不清 错 ， 站 批评 。 逻辑 评论 区 回复 一位 吵 ～ "
"""啊啊好的 不会真有人看不懂我发的微博吧？不会吧？不会吧？","""   真 有人 看不懂 我发 微博 ？ ？ ？ "
"嗯嗯，是的，但女权本质就是维护女性利益，获取本该自己的资源，这必定在一个男权社会引起很多男性的不满，部分女性已经训化成男权拥护者，这种情况极端女权言论更容易冒头，男女对立肯定也会加剧。
",， ， 女权 本质 维护 女性 利益 ， 获取 本该 资源 ， 男权 社会 男性 ， 女性 训 化成 男权 拥护者 ， 女权 言论 冒头 ， 男女 对立 加剧 。 
"""你还真急了，我不介意你再好好梳理一下我俩的对话～我实在懒得打字，要不开个语音我还能给你好好解释一波我的逻辑线～你现在就像一个辩论场上咄咄逼人的辩手，只不过辩论方式有问题",""" 真急 ， 不介意 好好 梳理 我俩 对话 ～ 实在 懒得 打字 ， 开个 语音 好好 解释 一波 逻辑 线 ～ 辩论 场上 咄咄逼人 辩手 ， 只不过 辩论 方式 "
"""洗地狗给爷爬，听懂了么？谁想和蛔虫在一个思维频道？你和柯洁报团去吧，解释不清楚就别说话懂吗？还知乎有专门的解释，不会归纳总结说不出来啥事田园女权，柯洁是讽刺的哪个特点就爬懂吗",""" 洗地 狗 爷 爬 ， 听懂 ？ 想 蛔虫 思维 频道 ？ 柯洁 报团 ， 解释 就别 说话 懂吗 ？ 知乎 解释 ， 归纳 说不出来 啥事 田园 女权 ， 柯洁 讽刺 爬 懂吗 "
"不利于男性利益的一律被打成女拳，他们有鉴定资格证
",不利于 男性 利益 一律 打成 女拳 ， 鉴定 资格证 
"大多数所谓的极端女权被打成极端女权，都是因为她们说的话，但是真的说的那些话我觉得实际影响根本就没有什么，没有害别人，没有让女生去杀去搞男人，我寻思这跟新闻上那些男的做的算什么呢？
",女权 打成 女权 ， 是因为 ， 话 影响 ， 害 ， 女生 杀 搞 男人 ， 寻思 新闻 男 做 算 ？ 
"因为刀不扎在自己身上不疼的，男人被骂两句能跳三丈高，比看到某些“新闻”还生气呢
",刀不扎 不疼 ， 男人 骂 两句 跳 三丈 高 ， “ 新闻 ” 生气 
"这个事儿就不适合打拳着呢，不认识他的人肯定就理解错了，主要对于那些田园女权，我也不知道怎么搞，每次看这种事情都挺烦的
",事儿 适合 打拳 ， 理解 错 ， 田园 女权 ， 搞 ， 每次 事情 挺烦 
"""对的。但争取权益的过程中不乏一些病态心理咬文嚼字地挑出女性的劣势甚至矫枉过正，这种就是极端女权。在家侮辱女性而且很自豪地发在网络上的就是极端男权的一种，二者都是促进异性之间矛盾加深的原因。",""" 。 权益 过程 中 不乏 病态心理 咬文嚼字 挑出 女性 劣势 矫枉过正 ， 女权 。 在家 侮辱 女性 自豪 地发 网络 男权 ， 二者 异性 矛盾加深 原因 。 "
"""回复@Mehrunes·Dagon:你这个话就很公平公正了，是这样",""" 回复 @ Mehrunes · Dagon : 话 公平 公正 ， "
"""所以对那个男人来说，冠姓权更重要，爱没冠姓权重要",""" 男人 ， 冠姓 权 ， 爱 没冠姓 权 "
"看了那么多姐妹和狗粉丝的评论对比，我只想说女孩子真可爱啊
",姐妹 狗 粉丝 评论 ， 想 女孩子 真 可爱 
"正常男性应该站在受害者的角度看问题，而不是把自己当成受害者。弱者还没保护好就想着强者可能会吃亏
",男性 站 受害者 角度看 ， 当成 受害者 。 弱者 保护 想着 强者 吃亏 
"就是你这样的普通男生在网络上发声太少了，才被男蛆代表了啊😂自信点，大胆的把自己的想法说出来，夸你的肯定比骂你的多（当然你想退就退
",男生 网络 发声 太少 ， 男 蛆 代表 😂 自信 点 ， 大胆 想法 ， 夸 比骂 （ 想 退 退 
"""我让你想清楚，你显然还没有……如果你真觉得我们不冲突，你来我这评论什么呢？当女性抗争时闭嘴——就是我对你这种“自称维护女性权益”的人最底线的建议了",""" 想 ， … … 真 冲突 ， 评论 ？ 女性 抗争 时 闭嘴 — — “ 自称 维护 女性 权益 ” 底线 建议 "
"梦蒙就算是女权也只是在做女权生意而已
",梦蒙 女权 做 女权 生意 
"你们这群男的真搞笑，一个二个把性别改成女，不想做男的去泰国割了
",这群 男 真 搞笑 ， 二个 性别 改成 女 ， 不想 做 男 泰国 割 
"网上重👊🏻出击呗。口嗨年代看看就好，你以为这些人有勇气去zf门口举着横幅抗议吗或者组织个游行啥的。工资又不高也只能微博大展宏图了。
",网上 重 👊 🏻 出击 。 口 嗨 年代 ， 人有 勇气 zf 门口 举着 横幅 抗议 组织 游行 。 工资 高 微博 大展宏图 。 
"""婚姻制度应该是男女的契约，而不是一场所有权的变更",""" 婚姻制度 男女 契约 ， 一场 所有权 变更 "
"？象征质疑和反对 代表你排斥新时代女权 固守封建父权主义 依然不放过对女性的压迫 而且！代表男性生殖器（洋人坚挺粗长）  而？代表着屌子蝈蝻劣质的金针菇基因 而3个？意味着你们想群J我 真的恶臭 日常恐男 女性什么时候能站起来
",？ 象征 质疑 反对   代表 排斥 新 时代 女权   固守 封建 父权 主义   依然 不放过 女性 压迫   ！ 代表 男性 生殖器 （ 洋人 坚挺 粗长 ）     ？ 代表 屌 子 蝈蝻 劣质 金针菇 基因   3 ？ 意味着 想群 J   恶臭   日常 恐男   女性 站 
"""连笑都被骂猥琐男 我笑死了 张嘴就来",""" 连笑 骂 猥琐男   笑 死   张嘴 "
"""是~所以当初那个万转微博妈妈离婚争取冠姓权这个我太诧异大家居然觉得妈妈不对，这是个人选择，争取自己想要的应得的权益罢了",""" ~ 当初 万转 微博 妈妈 离婚 冠姓权 太 诧异 妈妈 ， 选择 ， 想要 应得 权益 "
"""其实想看清男权圈套很容易",""" 想 看清 男权 圈套 "
"激进女权扬言要杀光国男的时候也没有女性要站出来谴责，或许这就是男人沉默的原因吧，现在支持你们相当于支持革掉自己的命，谁会想要自取灭亡。。。
",激进 女权 扬言 杀光 国男 女性 站 谴责 ， 男人 沉默 原因 ， 支持 相当于 支持 革掉 命 ， 想要 自取灭亡 。 。 。 
"""微博女权的发言就能入目了吗，就准你们骂人，不准别人还手",""" 微博 女权 发言 入目 ， 就准 骂人 ， 不准 还手 "
"女权主义不需要理会任何男性的看法！
",女权主义 理会 男性 看法 ！ 
"""这是个螺旋式上升的两方激进群体对立，两边肯定都是有错的。但是柯洁，他作为顶尖的棋手，公众影响力和号召力肯定不能和普普通通男大学生相比吧。我本来挺欣赏他的，但是他的做法的确令人失望。承认两方有错和柯洁有责任不矛盾，而公众人物和激进群体也不一样，他这样带动起来的舆论只有越来越激进",""" 螺旋式 两方 激进 群体 对立 ， 两边 错 。 柯洁 ， 顶尖 棋手 ， 公众 影响力 号召力 普普通通 男 大学生 相比 。 本来 挺 欣赏 ， 做法 令人 失望 。 承认 两方 有错 柯洁 责任 矛盾 ， 公众 人物 激进 群体 ， 带动 舆论 越来越 激进 "
"极端个屁啊，又没跟男人一样提刀砍人
",屁 ， 男人 提刀 砍 
"其实女权被污名化就是屌子们遏制女权的手段，千百年来都是同样的手段没啥花样，和荡妇羞辱一个思路，怕自己不行就骂有正常性欲的女性是荡妇，怕男的不再吃性别红利就骂要求正常人权的女性是田园女权
",女权 污名 化 屌 子们 遏制 女权 手段 ， 千百年来 手段 花样 ， 荡妇 羞辱 思路 ， 不行 骂 性欲 女性 荡妇 ， 男 吃 性别 红利 骂 人权 女性 田园 女权 
"关键是现在要求男女平权的人说自己是女权，要把男人杀光的也说自己是女权，在这种环境下，会被误伤是必然的
",关键 男女 平权 女权 ， 男人 杀光 女权 ， 环境 ， 误伤 
"你啊，就是被这些营销号洗脑成了田园男权
",， 营销 号 洗脑 成 田园 男权 
"一个白手起家的四十多岁的企业家，能被20岁的女大学生仙人跳，这个智商也是很堪忧
",白手起家 四十多岁 企业家 ， 20 岁 女 大学生 仙人跳 ， 智商 堪忧 
